Start to init hits and costs
Finished to init hits and costs
Ref 1 RI 2103264 CNT 65
Ref 1 RI 2107356 CNT 65
Ref 1 RI 2111448 CNT 65
Ref 1 RI 2115540 CNT 65
Ref 1 RI 2119632 CNT 65
Ref 1 RI 2123724 CNT 65
Ref 1 RI 2127816 CNT 65
Ref 1 RI 2131908 CNT 65
Ref 1 RI 2136000 CNT 66
Ref 1 RI 2140092 CNT 66
Ref 1 RI 2144184 CNT 66
Ref 1 RI 2148276 CNT 66
Ref 1 RI 2152368 CNT 66
Ref 1 RI 2156460 CNT 66
Ref 1 RI 2160552 CNT 66
Ref 1 RI 2164644 CNT 66
Ref 1 RI 2168736 CNT 67
Ref 1 RI 2172828 CNT 67
Ref 1 RI 2176920 CNT 67
Ref 1 RI 2181012 CNT 67
Ref 1 RI 2185104 CNT 67
Ref 1 RI 2189196 CNT 67
Ref 1 RI 2193288 CNT 67
Ref 1 RI 2197380 CNT 67
Ref 1 RI 2201472 CNT 68
Ref 1 RI 2205564 CNT 68
Ref 1 RI 2209656 CNT 68
Ref 1 RI 2213748 CNT 68
Ref 1 RI 2217840 CNT 68
Ref 1 RI 2221932 CNT 68
Ref 1 RI 2226024 CNT 68
Ref 1 RI 2230116 CNT 68
Ref 1 RI 2234208 CNT 69
Ref 1 RI 2238300 CNT 69
Ref 1 RI 2242392 CNT 69
Ref 1 RI 2246484 CNT 69
Ref 1 RI 2250576 CNT 69
Ref 1 RI 2254668 CNT 69
Ref 1 RI 2258760 CNT 69
Ref 1 RI 2262852 CNT 69
Ref 1 RI 2266944 CNT 70
Ref 1 RI 2271036 CNT 70
Ref 1 RI 2275128 CNT 70
Ref 1 RI 2279220 CNT 70
Ref 1 RI 2283312 CNT 70
Ref 1 RI 2287404 CNT 70
Ref 1 RI 2291496 CNT 70
Ref 1 RI 2295588 CNT 70
Ref 1 RI 2299680 CNT 71
Ref 1 RI 2303772 CNT 71
Ref 1 RI 2307864 CNT 71
Ref 1 RI 2311956 CNT 71
Ref 1 RI 2316048 CNT 71
Ref 1 RI 2320140 CNT 71
Ref 1 RI 2324232 CNT 71
Ref 1 RI 2328324 CNT 71
Ref 1 RI 2332416 CNT 72
Ref 1 RI 2336508 CNT 72
Ref 1 RI 2340600 CNT 72
Ref 1 RI 2344692 CNT 72
Ref 1 RI 2348784 CNT 72
Ref 1 RI 2352876 CNT 72
Ref 1 RI 2356968 CNT 72
Ref 1 RI 2361060 CNT 72
Ref 1 RI 2365152 CNT 73
Ref 1 RI 2369244 CNT 73
Ref 1 RI 2373336 CNT 73
Ref 1 RI 2377428 CNT 73
Ref 1 RI 2381520 CNT 73
Ref 1 RI 2385612 CNT 73
Ref 1 RI 2389704 CNT 73
Ref 1 RI 2393796 CNT 73
Ref 1 RI 2397888 CNT 74
Ref 1 RI 2401980 CNT 74
Ref 1 RI 2406072 CNT 74
Ref 1 RI 2410164 CNT 74
Ref 1 RI 2414256 CNT 74
Ref 1 RI 2418348 CNT 74
Ref 1 RI 2422440 CNT 74
Ref 1 RI 2426532 CNT 74
Ref 1 RI 2430624 CNT 75
Ref 1 RI 2434716 CNT 75
Ref 1 RI 2438808 CNT 75
Ref 1 RI 2442900 CNT 75
Ref 1 RI 2446992 CNT 75
Ref 1 RI 2451084 CNT 75
Ref 1 RI 2455176 CNT 75
Ref 1 RI 2459268 CNT 75
Ref 1 RI 2463360 CNT 76
Ref 1 RI 2467452 CNT 76
Ref 1 RI 2471544 CNT 76
Ref 1 RI 2475636 CNT 76
Ref 1 RI 2479728 CNT 76
Ref 1 RI 2483820 CNT 76
Ref 1 RI 2487912 CNT 76
Ref 1 RI 2492004 CNT 76
Ref 1 RI 2496096 CNT 77
Ref 1 RI 2500188 CNT 77
Ref 1 RI 2504280 CNT 77
Ref 1 RI 2508372 CNT 77
Ref 1 RI 2512464 CNT 77
Ref 1 RI 2516556 CNT 77
Ref 1 RI 2520648 CNT 77
Ref 1 RI 2524740 CNT 77
Ref 1 RI 2528832 CNT 78
Ref 1 RI 2532924 CNT 78
Ref 1 RI 2537016 CNT 78
Ref 1 RI 2541108 CNT 78
Ref 1 RI 2545200 CNT 78
Ref 1 RI 2549292 CNT 78
Ref 1 RI 2553384 CNT 78
Ref 1 RI 2557476 CNT 78
Ref 1 RI 2561568 CNT 79
Ref 1 RI 2565660 CNT 79
Ref 1 RI 2569752 CNT 79
Ref 1 RI 2573844 CNT 79
Ref 1 RI 2577936 CNT 79
Ref 1 RI 2582028 CNT 79
Ref 1 RI 2586120 CNT 79
Ref 1 RI 2590212 CNT 79
Ref 1 RI 2594304 CNT 80
Ref 1 RI 2598396 CNT 80
Ref 1 RI 2602488 CNT 80
Ref 1 RI 2606580 CNT 80
Ref 1 RI 2610672 CNT 80
Ref 1 RI 2614764 CNT 80
Ref 1 RI 2618856 CNT 80
Ref 1 RI 2622948 CNT 80
Ref 1 RI 2627040 CNT 81
Ref 1 RI 2631132 CNT 81
Ref 1 RI 2635224 CNT 81
Ref 1 RI 2639316 CNT 81
Ref 1 RI 2643408 CNT 81
Ref 1 RI 2647500 CNT 81
Ref 1 RI 2651592 CNT 81
Ref 1 RI 2655684 CNT 81
Ref 1 RI 2659776 CNT 82
Ref 1 RI 2663868 CNT 82
Ref 1 RI 2667960 CNT 82
Ref 1 RI 2672052 CNT 82
Ref 1 RI 2676144 CNT 82
Ref 1 RI 2680236 CNT 82
Ref 1 RI 2684328 CNT 82
Ref 1 RI 2688420 CNT 82
Ref 1 RI 2692512 CNT 83
Ref 1 RI 2696604 CNT 83
Ref 1 RI 2700696 CNT 83
Ref 1 RI 2704788 CNT 83
Ref 1 RI 2708880 CNT 83
Ref 1 RI 2712972 CNT 83
Ref 1 RI 2717064 CNT 83
Ref 1 RI 2721156 CNT 83
Ref 1 RI 2725248 CNT 84
Ref 1 RI 2729340 CNT 84
Ref 1 RI 2733432 CNT 84
Ref 1 RI 2737524 CNT 84
Ref 1 RI 2741616 CNT 84
Ref 1 RI 2745708 CNT 84
Ref 1 RI 2749800 CNT 84
Ref 1 RI 2753892 CNT 84
Ref 1 RI 2757984 CNT 85
Ref 1 RI 2762076 CNT 85
Ref 1 RI 2766168 CNT 85
Ref 1 RI 2770260 CNT 85
Ref 1 RI 2774352 CNT 85
Ref 1 RI 2778444 CNT 85
Ref 1 RI 2782536 CNT 85
Ref 1 RI 2786628 CNT 85
Ref 1 RI 2790720 CNT 86
Ref 1 RI 2794812 CNT 86
Ref 1 RI 2798904 CNT 86
Ref 1 RI 2802996 CNT 86
Ref 1 RI 2807088 CNT 86
Ref 1 RI 2811180 CNT 86
Ref 1 RI 2815272 CNT 86
Ref 1 RI 2819364 CNT 86
Ref 1 RI 2823456 CNT 87
Ref 1 RI 2827548 CNT 87
Ref 1 RI 2831640 CNT 87
Ref 1 RI 2835732 CNT 87
Ref 1 RI 2839824 CNT 87
Ref 1 RI 2843916 CNT 87
Ref 1 RI 2848008 CNT 87
Ref 1 RI 2852100 CNT 87
Ref 1 RI 2856192 CNT 88
Ref 1 RI 2860284 CNT 88
Ref 1 RI 2864376 CNT 88
Ref 1 RI 2868468 CNT 88
Ref 1 RI 2872560 CNT 88
Ref 1 RI 2876652 CNT 88
Ref 1 RI 2880744 CNT 88
Ref 1 RI 2884836 CNT 88
Ref 1 RI 2888928 CNT 89
Ref 1 RI 2893020 CNT 89
Ref 1 RI 2897112 CNT 89
Ref 1 RI 2901204 CNT 89
Ref 1 RI 2905296 CNT 89
Ref 1 RI 2909388 CNT 89
Ref 1 RI 2913480 CNT 89
Ref 1 RI 2917572 CNT 89
Ref 1 RI 2921664 CNT 90
Ref 1 RI 2925756 CNT 90
Ref 1 RI 2929848 CNT 90
Ref 1 RI 2933940 CNT 90
Ref 1 RI 2938032 CNT 90
Ref 1 RI 2942124 CNT 90
Ref 1 RI 2946216 CNT 90
Ref 1 RI 2950308 CNT 90
Ref 1 RI 2954400 CNT 91
Ref 1 RI 2958492 CNT 91
Ref 1 RI 2962584 CNT 91
Ref 1 RI 2966676 CNT 91
Ref 1 RI 2970768 CNT 91
Ref 1 RI 2974860 CNT 91
Ref 1 RI 2978952 CNT 91
Ref 1 RI 2983044 CNT 91
Ref 1 RI 2987136 CNT 92
Ref 1 RI 2991228 CNT 92
Ref 1 RI 2995320 CNT 92
