processing 128 buffers, bufferindex=4194304
hash allocated 0,  hash table size 117480; scaletree size 42705.
processing 256 buffers, bufferindex=4194304
hash allocated 0,  hash table size 172954; scaletree size 26524.
processing 384 buffers, bufferindex=4194304
hash allocated 0,  hash table size 217999; scaletree size 51147.
processing 512 buffers, bufferindex=4194304
hash allocated 0,  hash table size 257663; scaletree size 39766.
processing 640 buffers, bufferindex=4194304
hash allocated 0,  hash table size 293940; scaletree size 27710.
processing 768 buffers, bufferindex=4194304
hash allocated 0,  hash table size 327724; scaletree size 9517.
Starting to print results.
/* Total number of data blocks is 328192 */
/* Total number of accesses is 3225420800 */
/* Bin 0 Distance 0 */	Reuses: 539427328
/* Bin 1 Distance 1 */	Reuses: 2097024
/* Bin 198 Distance 48640 to 48895 */	Reuses: 48203	SLQ: 0
/* Bin 199 Distance 48896 to 49151 */	Reuses: 49221	SLQ: 0
/* Bin 200 Distance 49152 to 49407 */	Reuses: 48330	SLQ: 0
/* Bin 201 Distance 49408 to 49663 */	Reuses: 49732	SLQ: 0
/* Bin 202 Distance 49664 to 49919 */	Reuses: 49217	SLQ: 0
/* Bin 203 Distance 49920 to 50175 */	Reuses: 50251	SLQ: 0
/* Bin 204 Distance 50176 to 50431 */	Reuses: 49725	SLQ: 0
/* Bin 205 Distance 50432 to 50687 */	Reuses: 50767	SLQ: 0
/* Bin 206 Distance 50688 to 50943 */	Reuses: 50233	SLQ: 0
/* Bin 207 Distance 50944 to 51199 */	Reuses: 51283	SLQ: 0
/* Bin 208 Distance 51200 to 51455 */	Reuses: 50343	SLQ: 0
/* Bin 209 Distance 51456 to 51711 */	Reuses: 51795	SLQ: 0
/* Bin 210 Distance 51712 to 51967 */	Reuses: 51247	SLQ: 0
/* Bin 211 Distance 51968 to 52223 */	Reuses: 52313	SLQ: 0
/* Bin 212 Distance 52224 to 52479 */	Reuses: 51755	SLQ: 0
/* Bin 213 Distance 52480 to 52735 */	Reuses: 52829	SLQ: 0
/* Bin 214 Distance 52736 to 52991 */	Reuses: 52263	SLQ: 0
/* Bin 215 Distance 52992 to 53247 */	Reuses: 53758	SLQ: 0
/* Bin 216 Distance 53248 to 53503 */	Reuses: 51945	SLQ: 0
/* Bin 217 Distance 53504 to 53759 */	Reuses: 54273	SLQ: 0
/* Bin 218 Distance 53760 to 54015 */	Reuses: 52860	SLQ: 0
/* Bin 219 Distance 54016 to 54271 */	Reuses: 54796	SLQ: 0
/* Bin 220 Distance 54272 to 54527 */	Reuses: 53364	SLQ: 0
/* Bin 221 Distance 54528 to 54783 */	Reuses: 55316	SLQ: 0
/* Bin 222 Distance 54784 to 55039 */	Reuses: 53868	SLQ: 0
/* Bin 223 Distance 55040 to 55295 */	Reuses: 55837	SLQ: 0
/* Bin 224 Distance 55296 to 55551 */	Reuses: 54156	SLQ: 0
/* Bin 225 Distance 55552 to 55807 */	Reuses: 56138	SLQ: 0
/* Bin 226 Distance 55808 to 56063 */	Reuses: 54874	SLQ: 0
/* Bin 227 Distance 56064 to 56319 */	Reuses: 56874	SLQ: 0
/* Bin 228 Distance 56320 to 56575 */	Reuses: 55377	SLQ: 0
/* Bin 229 Distance 56576 to 56831 */	Reuses: 57395	SLQ: 0
/* Bin 230 Distance 56832 to 57087 */	Reuses: 55881	SLQ: 0
/* Bin 231 Distance 57088 to 57343 */	Reuses: 58360	SLQ: 0
/* Bin 232 Distance 57344 to 57599 */	Reuses: 55717	SLQ: 0
/* Bin 233 Distance 57600 to 57855 */	Reuses: 58657	SLQ: 0
/* Bin 234 Distance 57856 to 58111 */	Reuses: 56440	SLQ: 0
/* Bin 235 Distance 58112 to 58367 */	Reuses: 59404	SLQ: 0
/* Bin 236 Distance 58368 to 58623 */	Reuses: 56939	SLQ: 0
/* Bin 237 Distance 58624 to 58879 */	Reuses: 59929	SLQ: 0
/* Bin 238 Distance 58880 to 59135 */	Reuses: 57439	SLQ: 0
/* Bin 239 Distance 59136 to 59391 */	Reuses: 60454	SLQ: 0
/* Bin 240 Distance 59392 to 59647 */	Reuses: 57707	SLQ: 0
/* Bin 241 Distance 59648 to 59903 */	Reuses: 60743	SLQ: 0
/* Bin 242 Distance 59904 to 60159 */	Reuses: 58669	SLQ: 0
/* Bin 243 Distance 60160 to 60415 */	Reuses: 61267	SLQ: 0
/* Bin 244 Distance 60416 to 60671 */	Reuses: 59171	SLQ: 0
/* Bin 245 Distance 60672 to 60927 */	Reuses: 61789	SLQ: 0
/* Bin 246 Distance 60928 to 61183 */	Reuses: 59673	SLQ: 0
/* Bin 247 Distance 61184 to 61439 */	Reuses: 62788	SLQ: 0
/* Bin 248 Distance 61440 to 61695 */	Reuses: 59221	SLQ: 0
/* Bin 249 Distance 61696 to 61951 */	Reuses: 63309	SLQ: 0
/* Bin 250 Distance 61952 to 62207 */	Reuses: 60194	SLQ: 0
/* Bin 251 Distance 62208 to 62463 */	Reuses: 63838	SLQ: 0
/* Bin 252 Distance 62464 to 62719 */	Reuses: 60692	SLQ: 0
/* Bin 253 Distance 62720 to 62975 */	Reuses: 64364	SLQ: 0
/* Bin 254 Distance 62976 to 63231 */	Reuses: 61190	SLQ: 0
/* Bin 255 Distance 63232 to 63487 */	Reuses: 64891	SLQ: 0
/* Bin 256 Distance 63488 to 63743 */	Reuses: 61440	SLQ: 0
/* Bin 257 Distance 63744 to 63999 */	Reuses: 65166	SLQ: 0
/* Bin 258 Distance 64000 to 64255 */	Reuses: 62183	SLQ: 0
/* Bin 259 Distance 64256 to 64511 */	Reuses: 65941	SLQ: 0
/* Bin 260 Distance 64512 to 64767 */	Reuses: 62681	SLQ: 0
/* Bin 261 Distance 64768 to 65023 */	Reuses: 66467	SLQ: 0
/* Bin 262 Distance 65024 to 65279 */	Reuses: 63179	SLQ: 0
/* Bin 263 Distance 65280 to 65535 */	Reuses: 72700	SLQ: 0
/* Bin 264 Distance 65536 to 65791 */	Reuses: 57655	SLQ: 0
/* Bin 265 Distance 65792 to 66047 */	Reuses: 73165	SLQ: 0
/* Bin 266 Distance 66048 to 66303 */	Reuses: 57798	SLQ: 0
/* Bin 267 Distance 66304 to 66559 */	Reuses: 74062	SLQ: 0
/* Bin 268 Distance 66560 to 66815 */	Reuses: 58219	SLQ: 0
/* Bin 269 Distance 66816 to 67071 */	Reuses: 74085	SLQ: 0
/* Bin 270 Distance 67072 to 67327 */	Reuses: 60614	SLQ: 0
/* Bin 271 Distance 67328 to 67583 */	Reuses: 74115	SLQ: 0
/* Bin 272 Distance 67584 to 67839 */	Reuses: 63742	SLQ: 0
/* Bin 273 Distance 67840 to 68095 */	Reuses: 71951	SLQ: 0
/* Bin 274 Distance 68096 to 68351 */	Reuses: 62153	SLQ: 0
/* Bin 275 Distance 68352 to 68607 */	Reuses: 75090	SLQ: 0
/* Bin 276 Distance 68608 to 68863 */	Reuses: 59904	SLQ: 0
/* Bin 277 Distance 68864 to 69119 */	Reuses: 76892	SLQ: 0
/* Bin 278 Distance 69120 to 69375 */	Reuses: 60033	SLQ: 0
/* Bin 279 Distance 69376 to 69631 */	Reuses: 76885	SLQ: 0
/* Bin 280 Distance 69632 to 69887 */	Reuses: 63977	SLQ: 0
/* Bin 281 Distance 69888 to 70143 */	Reuses: 75876	SLQ: 0
/* Bin 282 Distance 70144 to 70399 */	Reuses: 64568	SLQ: 0
/* Bin 283 Distance 70400 to 70655 */	Reuses: 77169	SLQ: 0
/* Bin 284 Distance 70656 to 70911 */	Reuses: 61310	SLQ: 0
/* Bin 285 Distance 70912 to 71167 */	Reuses: 79331	SLQ: 0
/* Bin 286 Distance 71168 to 71423 */	Reuses: 61485	SLQ: 0
/* Bin 287 Distance 71424 to 71679 */	Reuses: 80216	SLQ: 0
/* Bin 288 Distance 71680 to 71935 */	Reuses: 66735	SLQ: 0
/* Bin 289 Distance 71936 to 72191 */	Reuses: 77821	SLQ: 0
/* Bin 290 Distance 72192 to 72447 */	Reuses: 62793	SLQ: 0
/* Bin 291 Distance 72448 to 72703 */	Reuses: 81135	SLQ: 0
/* Bin 292 Distance 72704 to 72959 */	Reuses: 63251	SLQ: 0
/* Bin 293 Distance 72960 to 73215 */	Reuses: 81757	SLQ: 0
/* Bin 294 Distance 73216 to 73471 */	Reuses: 67258	SLQ: 0
/* Bin 295 Distance 73472 to 73727 */	Reuses: 80860	SLQ: 0
/* Bin 296 Distance 73728 to 73983 */	Reuses: 62915	SLQ: 0
/* Bin 297 Distance 73984 to 74239 */	Reuses: 83371	SLQ: 0
/* Bin 298 Distance 74240 to 74495 */	Reuses: 68557	SLQ: 0
/* Bin 299 Distance 74496 to 74751 */	Reuses: 80462	SLQ: 0
/* Bin 300 Distance 74752 to 75007 */	Reuses: 65058	SLQ: 0
/* Bin 301 Distance 75008 to 75263 */	Reuses: 84030	SLQ: 0
/* Bin 302 Distance 75264 to 75519 */	Reuses: 68106	SLQ: 0
/* Bin 303 Distance 75520 to 75775 */	Reuses: 82826	SLQ: 0
